Avg_environmental_importance,Avg_government_satisfaction,Avg_education_importance,Most_Important_Issue,Number_of_valued_Kneset_members,Avg_monthly_expense_on_pets_or_plants,Avg_Residancy_Altitude,Yearly_ExpensesK,Weighted_education_rank,Vote,Party
-0.23165035535166612,-0.15546012591330163,-0.10678277114656204,2,0.45311647589375786,-0.784009239002717,-1.037844886162543,0.2977142857142858,-0.7308489667103778,7,Purples
-0.6662073319299077,-0.4202346239274332,0.14230311952378713,2,-1.4255892162677897,-0.8236367519127188,-0.7773165065877597,0.05142857142857138,-0.4571315151404034,6,Pinks
0.05756013228182049,-0.1870282293608477,-0.10864485165409894,1,-0.6741069394031706,-0.9157864259654994,-0.18281613231444296,-0.5105714285714286,-0.8254132951849511,11,Whites
0.07049935400053442,-0.19917133167322024,-0.2567550036570454,7,-1.4255892162677897,-0.7128360708867492,0.012731270916281666,-0.6954285714285715,-0.7939472981559695,1,Browns
-0.21271406732688303,-0.11903787465013134,-0.1304897006000726,0,0.45311647589375786,-0.31593499884416987,-1.4452604959848259,0.6828571428571428,-0.7466908762420152,7,Purples
0.8258648095949711,0.524806568508523,1.5883699509466183,1,1.5803398911906863,-0.5333064318983067,1.7137216656342409,-0.5891428571428572,-0.10830234367649638,4,Khakis
-1.8644360304588918,-1.5668989371420325,-2.021159845595865,7,0.8288576143260674,-0.16265770617402742,1.7415274787675126,-0.6154285714285714,0.7375196776085267,4,Khakis
0.2952714531551259,-0.23715082059630418,-0.20798812842563927,4,-1.0498480778354802,-0.4469392881021217,-1.2847725962699652,0.5311428571428571,-0.7881350870381039,11,Whites
1.1984719736104876,1.1920622193254862,1.0881251257568776,0,0.45311647589375786,-0.8948782054475383,1.217146111525924,-0.11971428571428566,-0.10733164449216048,4,Khakis
1.3631162696056227,1.8454542977634054,1.6730296593310563,2,0.07737533746144838,-0.617396750739288,1.7085836349465708,-0.5842857142857143,0.3216398879490956,9,Turquoises
-0.42274253203154966,-0.27731880086203375,0.005289082270112237,1,0.45311647589375786,-0.7870801329146333,-0.5569856612165104,-0.1568571428571428,-0.6137246163108515,7,Purples
2.2933714081937477,1.3333267564026534,-1.0532609665841333,2,-0.29836580097086113,0.4521171911815005,0.8330027583477919,-0.32799999999999996,0.3464735486424839,0,Blues
-0.12967968184484277,0.18793849709988691,-0.18733709158656964,7,-0.29836580097086113,-0.7729900611543382,-0.04257811825098667,-0.6431428571428571,-0.8237134717236476,7,Purples
0.7755927339327015,0.02121583731296804,-0.2317993314079245,5,-0.6741069394031706,-0.8116802979529596,-1.018501711808963,0.8508571428571428,-0.6946818122260766,3,Greys
